link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_link_id,macro_node_id,movement_id,mvmt_txt_id,ctrl_type,allowed_uses
66,11401,11500,1,264.35,2,2300,72,motorway,1,"LINESTRING (-112.1186761 33.6695778, -112.1189859 33.6694948, -112.1197241 33.6693918, -112.1209056 33.6692294, -112.1214805 33.6691622)",67,,,,,auto
67,11601,11701,1,321.86,1,2300,72,motorway,1,"LINESTRING (-112.1220718 33.6682531, -112.1189647 33.6679951, -112.1186284 33.6679153)",68,,,,,auto
68,11801,11900,1,72.44,2,2300,120,motorway,1,"LINESTRING (-112.1365342 33.6700087, -112.1367317 33.6699855, -112.1373136 33.6699928)",69,,,,,auto
69,12001,12100,1,310.75,1,2300,120,motorway,1,"LINESTRING (-112.1407094 33.6694403, -112.1401868 33.6694433, -112.1400336 33.6694436, -112.1398894 33.6694386, -112.1396887 33.6694292, -112.1392642 33.6694100, -112.1388958 33.6693939, -112.1386972 33.6693845, -112.1385048 33.6693741, -112.1383525 33.6693627, -112.1382188 33.6693494, -112.1380608 33.6693320, -112.1379388 33.6693153, -112.1378263 33.6692984, -112.1377235 33.6692807, -112.1375792 33.6692531, -112.1374546 33.6692276, -112.1373779 33.6692113)",70,,,,,auto
70,12201,12300,1,249.6,1,2300,120,motorway,1,"LINESTRING (-112.1624324 33.6695705, -112.1633540 33.6695285, -112.1636243 33.6694928, -112.1638228 33.6694668, -112.1640594 33.6694409, -112.1643170 33.6694146, -112.1651089 33.6693414)",71,,,,,auto
71,12400,12502,1,365.17,1,2300,120,motorway,1,"LINESTRING (-112.1651008 33.6687083, -112.1643131 33.6688918, -112.1637972 33.6690003, -112.1634001 33.6690712, -112.1626480 33.6691704, -112.1619011 33.6692374, -112.1612405 33.6693348)",72,,,,,auto
72,12600,12702,1,378.67,1,2300,120,motorway,1,"LINESTRING (-112.1734069 33.6687033, -112.1741563 33.6686438, -112.1751080 33.6685840, -112.1761336 33.6685355, -112.1770213 33.6685261, -112.1774781 33.6684651)",73,,,,,auto
73,12801,12900,1,467.02,1,2300,120,motorway,1,"LINESTRING (-112.1774828 33.6682407, -112.1770213 33.6681789, -112.1769404 33.6681793, -112.1761232 33.6681835, -112.1750992 33.6681329, -112.1741684 33.6680794, -112.1724593 33.6679779)",74,,,,,auto
74,13001,13100,1,520.14,1,2300,120,motorway,1,"LINESTRING (-112.1788939 33.6684605, -112.1791857 33.6685205, -112.1802630 33.6685193, -112.1806521 33.6685125, -112.1808499 33.6685090, -112.1810474 33.6685110, -112.1823349 33.6685683, -112.1829839 33.6686099, -112.1844875 33.6687079)",75,,,,,auto
75,13200,13301,1,376.91,1,2300,120,motorway,1,"LINESTRING (-112.1829477 33.6679909, -112.1825845 33.6680375, -112.1810430 33.6681520, -112.1802560 33.6681595, -112.1799278 33.6681627, -112.1791812 33.6681700, -112.1789031 33.6682349)",76,,,,,auto
76,13401,13500,1,91.37,2,2300,120,motorway,1,"LINESTRING (-112.1874801 33.6687405, -112.1878797 33.6687044, -112.1884613 33.6686636)",77,,,,,auto
77,13602,13700,1,424.49,1,2300,120,motorway,1,"LINESTRING (-112.1940276 33.6681568, -112.1932978 33.6680992, -112.1928083 33.6680911, -112.1925923 33.6680875, -112.1923293 33.6680663, -112.1917193 33.6680171, -112.1912193 33.6679692, -112.1908402 33.6679221, -112.1897427 33.6677518, -112.1894861 33.6677145)",78,,,,,auto
78,13802,13900,1,437.69,1,2300,120,motorway,1,"LINESTRING (-112.1957139 33.6683821, -112.1972335 33.6684028, -112.1973884 33.6684049, -112.1982940 33.6684182, -112.1995080 33.6684707, -112.2004318 33.6685135)",79,,,,,auto
79,14002,14100,1,107.76,2,2300,120,motorway,1,"LINESTRING (-112.2023598 33.6674339, -112.2012103 33.6675786)",80,,,,,auto
80,14201,14302,1,464.97,1,2300,120,motorway,1,"LINESTRING (-112.2052925 33.6682827, -112.2062222 33.6681589, -112.2067695 33.6680872, -112.2071619 33.6680423, -112.2076298 33.6680009, -112.2088510 33.6679272, -112.2102731 33.6678082)",81,,,,,auto
81,14402,14500,1,442.0,1,2300,120,motorway,1,"LINESTRING (-112.2102761 33.6675797, -112.2086598 33.6675375, -112.2080011 33.6675283, -112.2075584 33.6675168, -112.2065741 33.6674875, -112.2055144 33.6674070)",82,,,,,auto
82,14602,14700,1,525.27,1,2300,120,motorway,1,"LINESTRING (-112.2123190 33.6677973, -112.2128628 33.6678513, -112.2134438 33.6678595, -112.2140311 33.6678692, -112.2142744 33.6678740, -112.2145160 33.6678911, -112.2156329 33.6679893, -112.2167078 33.6680983, -112.2173396 33.6681737, -112.2179531 33.6682489)",83,,,,,auto
83,14801,14900,1,63.6,2,2300,120,motorway,1,"LINESTRING (-112.2187738 33.6672871, -112.2186260 33.6673327, -112.2180989 33.6673644)",84,,,,,auto
84,276600,15200,1,25.84,2,1600,72,secondary,4,"LINESTRING (-112.1145572 33.6617669, -112.1145581 33.6615338)",86,,,,,auto
